legacy_row,legacy_key,new_ref,runtime_key,group,context,source_file,source_line,source_ref
93,combat.msg.battle_playerattackresolvetimed.539.1,combat.msg.battle_playerattackresolvetimed.539.1,combat.msg.battle_playerattackresolvetimed.539.1,combat.msg,Battle_PlayerAttackResolveTimed UI/message text,scripts/scr_combat/scr_combat.gml,539,Battle_PlayerAttackResolveTimed:539
94,combat.msg.battle_playerskill.631.0,combat.msg.battle_playerskill.631.0,combat.msg.battle_playerskill.631.0,combat.msg,Battle_PlayerSkill UI/message text,scripts/scr_combat/scr_combat.gml,631,Battle_PlayerSkill:631
95,combat.msg.battle_playerskill.631.1,combat.msg.battle_playerskill.631.1,combat.msg.battle_playerskill.631.1,combat.msg,Battle_PlayerSkill UI/message text,scripts/scr_combat/scr_combat.gml,631,Battle_PlayerSkill:631
96,combat.msg.battle_playerskill.633.0,combat.msg.battle_playerskill.633.0,combat.msg.battle_playerskill.633.0,combat.msg,Battle_PlayerSkill UI/message text,scripts/scr_combat/scr_combat.gml,633,Battle_PlayerSkill:633
97,combat.msg.battle_playerskill.633.1,combat.msg.battle_playerskill.633.1,combat.msg.battle_playerskill.633.1,combat.msg,Battle_PlayerSkill UI/message text,scripts/scr_combat/scr_combat.gml,633,Battle_PlayerSkill:633
98,combat.msg.battle_playerskill.638.0,combat.msg.battle_playerskill.638.0,combat.msg.battle_playerskill.638.0,combat.msg,Battle_PlayerSkill UI/message text,scripts/scr_combat/scr_combat.gml,638,Battle_PlayerSkill:638
99,combat.msg.battle_playerskill.638.1,combat.msg.battle_playerskill.638.1,combat.msg.battle_playerskill.638.1,combat.msg,Battle_PlayerSkill UI/message text,scripts/scr_combat/scr_combat.gml,638,Battle_PlayerSkill:638
100,combat.msg.battle_playerskill.640.0,combat.msg.battle_playerskill.640.0,combat.msg.battle_playerskill.640.0,combat.msg,Battle_PlayerSkill UI/message text,scripts/scr_combat/scr_combat.gml,640,Battle_PlayerSkill:640
101,combat.msg.battle_playerskill.640.1,combat.msg.battle_playerskill.640.1,combat.msg.battle_playerskill.640.1,combat.msg,Battle_PlayerSkill UI/message text,scripts/scr_combat/scr_combat.gml,640,Battle_PlayerSkill:640
102,combat.msg.battle_playerstunskip.395.0,combat.msg.battle_playerstunskip.395.0,combat.msg.battle_playerstunskip.395.0,combat.msg,Battle_PlayerStunSkip UI/message text,scripts/scr_combat/scr_combat.gml,395,Battle_PlayerStunSkip:395
103,combat.msg.battle_playerstunskip.395.1,combat.msg.battle_playerstunskip.395.1,combat.msg.battle_playerstunskip.395.1,combat.msg,Battle_PlayerStunSkip UI/message text,scripts/scr_combat/scr_combat.gml,395,Battle_PlayerStunSkip:395
104,combat.msg.battle_runattempt.709.0,combat.msg.battle_runattempt.709.0,combat.msg.battle_runattempt.709.0,combat.msg,Battle_RunAttempt UI/message text,scripts/scr_combat/scr_combat.gml,709,Battle_RunAttempt:709
105,combat.msg.battle_runattempt.709.1,combat.msg.battle_runattempt.709.1,combat.msg.battle_runattempt.709.1,combat.msg,Battle_RunAttempt UI/message text,scripts/scr_combat/scr_combat.gml,709,Battle_RunAttempt:709
106,combat.msg.battle_runattempt.712.0,combat.msg.battle_runattempt.712.0,combat.msg.battle_runattempt.712.0,combat.msg,Battle_RunAttempt UI/message text,scripts/scr_combat/scr_combat.gml,712,Battle_RunAttempt:712
107,combat.msg.battle_runattempt.712.1,combat.msg.battle_runattempt.712.1,combat.msg.battle_runattempt.712.1,combat.msg,Battle_RunAttempt UI/message text,scripts/scr_combat/scr_combat.gml,712,Battle_RunAttempt:712
108,combat.msg.enemy_appeared,combat.msg.enemy_appeared,combat.msg.enemy_appeared,combat,Loc_T fallback in Create_0,objects/obj_battle_controller/Create_0.gml,103,Create_0:103
109,combat.msg.enemy_crit,combat.msg.enemy_crit,combat.msg.enemy_crit,combat,Loc_T fallback in Battle_EnemyAct,scripts/scr_combat/scr_combat.gml,852,Battle_EnemyAct:852
110,combat.msg.enemy_hit,combat.msg.enemy_hit,combat.msg.enemy_hit,combat,Loc_T fallback in Battle_EnemyAct,scripts/scr_combat/scr_combat.gml,855,Battle_EnemyAct:855
111,combat.msg.enemy_miss,combat.msg.enemy_miss,combat.msg.enemy_miss,combat,Loc_T fallback in Battle_EnemyAct,scripts/scr_combat/scr_combat.gml,849,Battle_EnemyAct:849
112,combat.msg.enemy_skill_message,combat.msg.enemy_skill_message,combat.msg.enemy_skill_message,combat,Loc_T fallback in Battle_EnemyAct,scripts/scr_combat/scr_combat.gml,844,Battle_EnemyAct:844
113,combat.msg.enemy_slain,combat.msg.enemy_slain,combat.msg.enemy_slain,combat,Loc_T fallback in Battle_CheckEnd,scripts/scr_combat/scr_combat.gml,335,Battle_CheckEnd:335
114,combat.msg.enemy_stunned,combat.msg.enemy_stunned,combat.msg.enemy_stunned,combat,Loc_T fallback in Battle_EnemyAct,scripts/scr_combat/scr_combat.gml,785,Battle_EnemyAct:785
115,combat.msg.floor1_reaction.0,combat.msg.floor1_reaction.0,combat.msg.floor1_reaction.0,combat,Loc_T fallback in Battle_BuildVictoryDialogueLines,scripts/scr_combat/scr_combat.gml,302,Battle_BuildVictoryDialogueLines:302
116,combat.msg.floor1_reaction.1,combat.msg.floor1_reaction.1,combat.msg.floor1_reaction.1,combat,Loc_T fallback in Battle_BuildVictoryDialogueLines,scripts/scr_combat/scr_combat.gml,303,Battle_BuildVictoryDialogueLines:303
117,combat.msg.list_separator,combat.msg.list_separator,combat.msg.list_separator,combat,Loc_T fallback in Skill_Use,scripts/scr_db_skill/scr_db_skill.gml,893,Skill_Use:893
118,combat.msg.loot_prefix,combat.msg.loot_prefix,combat.msg.loot_prefix,combat,Loc_T fallback in Battle_BuildVictoryDialogueLines,scripts/scr_combat/scr_combat.gml,281,Battle_BuildVictoryDialogueLines:281
119,combat.msg.not_enough_mp,combat.msg.not_enough_mp,combat.msg.not_enough_mp,combat,Loc_T fallback in Skill_Use,scripts/scr_db_skill/scr_db_skill.gml,847,Skill_Use:847
120,combat.msg.nothing_to_steal,combat.msg.nothing_to_steal,combat.msg.nothing_to_steal,combat,Loc_T fallback in Skill_Use,scripts/scr_db_skill/scr_db_skill.gml,942,Skill_Use:942
121,combat.msg.player_couldnt_escape,combat.msg.player_couldnt_escape,combat.msg.player_couldnt_escape,combat,Loc_T fallback in Battle_RunAttempt,scripts/scr_combat/scr_combat.gml,712,Battle_RunAttempt:712
122,combat.msg.player_crit,combat.msg.player_crit,combat.msg.player_crit,combat,Loc_T fallback in Battle_PlayerAttackResolveTimed,scripts/scr_combat/scr_combat.gml,532,Battle_PlayerAttackResolveTimed:532
123,combat.msg.player_hit,combat.msg.player_hit,combat.msg.player_hit,combat,Loc_T fallback in Battle_PlayerAttackResolveTimed,scripts/scr_combat/scr_combat.gml,539,Battle_PlayerAttackResolveTimed:539
124,combat.msg.player_miss,combat.msg.player_miss,combat.msg.player_miss,combat,Loc_T fallback in Battle_PlayerAttackResolveTimed,scripts/scr_combat/scr_combat.gml,525,Battle_PlayerAttackResolveTimed:525
125,combat.msg.player_ran,combat.msg.player_ran,combat.msg.player_ran,combat,Loc_T fallback in Battle_RunAttempt,scripts/scr_combat/scr_combat.gml,709,Battle_RunAttempt:709
126,combat.msg.player_stunned,combat.msg.player_stunned,combat.msg.player_stunned,combat,Loc_T fallback in Battle_PlayerStunSkip,scripts/scr_combat/scr_combat.gml,395,Battle_PlayerStunSkip:395
127,combat.msg.sentence_dot,combat.msg.sentence_dot,combat.msg.sentence_dot,combat,Loc_T fallback in Skill_Use,scripts/scr_db_skill/scr_db_skill.gml,897,Skill_Use:897
128,combat.msg.skill.use.skill_rampage,combat.msg.skill.use.skill_rampage,combat.msg.skill.use.skill_rampage,combat.msg,Skill use message (SKILL_RAMPAGE),scripts/scr_db_skill/scr_db_skill.gml,558,SkillDB_Init skill SKILL_RAMPAGE use_msg
129,combat.msg.skill_crit,combat.msg.skill_crit,combat.msg.skill_crit,combat,Loc_T fallback in Battle_PlayerSkill,scripts/scr_combat/scr_combat.gml,633,Battle_PlayerSkill:633
130,combat.msg.skill_hit,combat.msg.skill_hit,combat.msg.skill_hit,combat,Loc_T fallback in Battle_PlayerSkill,scripts/scr_combat/scr_combat.gml,638,Battle_PlayerSkill:638
131,combat.msg.skill_miss,combat.msg.skill_miss,combat.msg.skill_miss,combat,Loc_T fallback in Battle_PlayerSkill,scripts/scr_combat/scr_combat.gml,631,Battle_PlayerSkill:631
132,combat.msg.skill_used,combat.msg.skill_used,combat.msg.skill_used,combat,Loc_T fallback in Battle_PlayerSkill,scripts/scr_combat/scr_combat.gml,640,Battle_PlayerSkill:640
133,combat.msg.stole_an_item,combat.msg.stole_an_item,combat.msg.stole_an_item,combat,Loc_T fallback in Skill_Use,scripts/scr_db_skill/scr_db_skill.gml,957,Skill_Use:957
134,combat.msg.stole_item,combat.msg.stole_item,combat.msg.stole_item,combat,Loc_T fallback in Skill_Use,scripts/scr_db_skill/scr_db_skill.gml,955,Skill_Use:955
135,combat.msg.victory_prefix,combat.msg.victory_prefix,combat.msg.victory_prefix,combat,Loc_T fallback in Battle_BuildVictoryDialogueLines,scripts/scr_combat/scr_combat.gml,279,Battle_BuildVictoryDialogueLines:279
136,common.cancel,common.cancel,common.cancel,common,Loc_T fallback in SaveMenu_Draw,scripts/scr_save_menu/scr_save_menu.gml,729,SaveMenu_Draw:729
137,common.ok,common.ok,common.ok,common,Loc_T fallback in Menu_Draw,scripts/scr_menu/scr_menu.gml,1741,Menu_Draw:1741
138,cutscene.ending.0.0,cutscene.ending.0.0,cutscene.ending.0.0,cutscene,Cutscene ending segment 0 line 0,objects/obj_start_controller/Create_0.gml,92,cutscene_definitions.ending[0].lines
139,cutscene.ending.0.1,cutscene.ending.0.1,cutscene.ending.0.1,cutscene,Cutscene ending segment 0 line 1,objects/obj_start_controller/Create_0.gml,93,cutscene_definitions.ending[0].lines
140,cutscene.ending.0.2,cutscene.ending.0.2,cutscene.ending.0.2,cutscene,Cutscene ending segment 0 line 2,objects/obj_start_controller/Create_0.gml,94,cutscene_definitions.ending[0].lines
141,cutscene.ending.1.0,cutscene.ending.1.0,cutscene.ending.1.0,cutscene,Cutscene ending segment 1 line 0,objects/obj_start_controller/Create_0.gml,103,cutscene_definitions.ending[1].lines
142,cutscene.ending.1.1,cutscene.ending.1.1,cutscene.ending.1.1,cutscene,Cutscene ending segment 1 line 1,objects/obj_start_controller/Create_0.gml,104,cutscene_definitions.ending[1].lines
143,cutscene.ending.1.2,cutscene.ending.1.2,cutscene.ending.1.2,cutscene,Cutscene ending segment 1 line 2,objects/obj_start_controller/Create_0.gml,105,cutscene_definitions.ending[1].lines
144,cutscene.ending.1.3,cutscene.ending.1.3,cutscene.ending.1.3,cutscene,Cutscene ending segment 1 line 3,objects/obj_start_controller/Create_0.gml,106,cutscene_definitions.ending[1].lines
145,cutscene.ending.1.4,cutscene.ending.1.4,cutscene.ending.1.4,cutscene,Cutscene ending segment 1 line 4,objects/obj_start_controller/Create_0.gml,107,cutscene_definitions.ending[1].lines
146,cutscene.ending.2.0,cutscene.ending.2.0,cutscene.ending.2.0,cutscene,Cutscene ending segment 2 line 0,objects/obj_start_controller/Create_0.gml,116,cutscene_definitions.ending[2].lines
147,cutscene.ending.2.1,cutscene.ending.2.1,cutscene.ending.2.1,cutscene,Cutscene ending segment 2 line 1,objects/obj_start_controller/Create_0.gml,117,cutscene_definitions.ending[2].lines
