retailerName,market,site,productName,category,subcategory,brand,retailerProductCode,upc,manufacturer,productUrl,additionalProductDescription,ingredients,productImageUrl,dateFirstAvailable,dateAddedToCatalog,numberOfReviews,productRating,aboutThisItem,internalReviewId,retailerReviewId,reviewDate,reviewDateISO,reviewRating,reviewTitle,reviewText,parentOrChild,reviewUrl,reviewType,verifiedPurchase,helpfulReviewCount,reviewCustomerImages,productName_clean,brand_clean,category_clean,subcategory_clean,reviewText_clean,review_date,dateAddedToCatalog_clean,verified_purchase_flag,has_text,has_image,low_rating_flag,is_review_row,brand_canonical,relevance_flag
Lazada,PH,lazada.com.ph,BEST PRICE (LOWEST PRICE GUARANTEED) (PACK OF 2 GALLONS) Concentrated FABRIC FRESHENER DOLLY Scent Laundry Fragrance Long Lasting Clothes Scented Booster Perfume Cologne Parfum Spray Wash Fresh Extra Strong Professional Cleaning,Fabric Care,Fabric Enhancer,No Brand,323466434,,,https://www.lazada.com.ph/products/best-price-lowest-price-guaranteed-pack-of-2-gallons-concentrated-fabric-freshener-dolly-scent-laundry-fragrance-long-lasting-clothes-scented-booster-perfume-cologne-parfum-spray-wash-fresh-extra-strong-professional-cleaning-i323466434.html,,,https://ph-live-01.slatic.net/p/11a9883128d800a717ee36295d5f524c.png,,2023-09-20,4,5.0,Add 50ml (5tbsp) of fabric freshener to the last rinse. For best results. soak the garments for about 2-3minutes in the rinsing water. | Use undiluted. Spray around the folded clothes as a fragrance enhancer. | Mix 1tbsp. of fabric freshener with 500ml of water. Spray on garments prior to ironing. | Add 50ml (5tbsp) of fabric freshener to the last rinse. For best results. soak the garments for about 2-3minutes in the rinsing water. | Use undiluted. Spray around the folded clothes as a fragrance enhancer. | Mix 1tbsp. of fabric freshener with 500ml of water. Spray on garments prior to ironing.,,,,,,,,,,,,,,best price (lowest price guaranteed) (pack of 2 gallons) concentrated fabric freshener dolly scent laundry fragrance long lasting clothes scented booster perfume cologne parfum spray wash fresh extra strong professional cleaning,no brand,fabric care,fabric enhancer,,,2023-09-20,,0,0,0,0,Unknown,relevant
Lazada,PH,lazada.com.ph,Zonrox Bleach Lemon Scent 250ml DynaMart Official Store Free Shipping,Fabric Care,Bleach,Zonrox,3405558287,,,https://www.lazada.com.ph/products/zonrox-bleach-lemon-scent-250ml-dynamart-official-store-free-shipping-i3405558287.html,,,https://ph-live-01.slatic.net/p/c5ea86b999bed79765763ca748c55ea6.jpg,,2023-09-20,1,5.0,* delivers a 6-in-1 Total Clean for 99.9% antibacterial protection. whitening. deodorizing. elimination of disease-causing germs. removal of tough stains and dirt. and shortening of cleaning time.,,,,,,,,,,,,,,zonrox bleach lemon scent 250ml dynamart official store free shipping,zonrox,fabric care,bleach,,,2023-09-20,,0,0,0,0,Unknown,relevant
Lazada,PH,lazada.com.ph,Zonrox Bleach Original 250Ml,Fabric Care,Bleach,All Day Supermarket,2116597671,,,https://www.lazada.com.ph/products/zonrox-bleach-original-250ml-i2116597671.html,,,https://ph-live-01.slatic.net/p/6f14bbfdd92677649bfe5a6412e02592.jpg,,2023-10-02,2,5.0,,,,,,,,,,,,,,,zonrox bleach original 250ml,all day supermarket,fabric care,bleach,,,2023-10-02,,0,0,0,0,Unknown,relevant
Lazada,PH,lazada.com.ph,Zonrox Bleach Original 500Ml,Fabric Care,Bleach,All Day Supermarket,2116573792,,,https://www.lazada.com.ph/products/zonrox-bleach-original-500ml-i2116573792.html,,,https://ph-live-01.slatic.net/p/002f8cee94157d5ea9199dbbbded7686.jpg,,2023-10-02,9,4.777777777777778,,,,,,,,,,,,,,,zonrox bleach original 500ml,all day supermarket,fabric care,bleach,,,2023-10-02,,0,0,0,0,Unknown,relevant
Lazada,PH,lazada.com.ph,Zonrox Lemon Scent 100ml Beyond Home Watsons Snr Official Store Everything Free Shipping,Fabric Care,Bleach,Zonrox,3407786677,,,https://www.lazada.com.ph/products/zonrox-lemon-scent-100ml-beyond-home-watsons-snr-official-store-everything-free-shipping-i3407786677.html,,,https://ph-live-01.slatic.net/p/52707bd05d752cb966a06f97faf7f30a.jpg,,2023-12-02,1,5.0,* delivers a 6-in-1 Total Clean for 99.9% antibacterial protection. whitening. deodorizing. elimination of disease-causing germs. removal of tough stains and dirt. and shortening of cleaning time.,,,,,,,,,,,,,,zonrox lemon scent 100ml beyond home watsons snr official store everything free shipping,zonrox,fabric care,bleach,,,2023-12-02,,0,0,0,0,Unknown,borderline
Lazada,PH,lazada.com.ph,Del Fabric Conditioner Big 1000mL,Fabric Care,Fabric Enhancer,No Brand,2937856382,,,https://www.lazada.com.ph/products/del-fabric-conditioner-big-1000ml-i2937856382.html,,,https://filebroker-cdn.lazada.com.ph/kf/Sb7494750a5cc4a67ad8e8e80e68baf00j.jpg,,2023-09-20,5,5.0,,,,,,,,,,,,,,,del fabric conditioner big 1000ml,no brand,fabric care,fabric enhancer,,,2023-09-20,,0,0,0,0,Unknown,relevant
Lazada,PH,lazada.com.ph,Fabric Conditioner MAXGLOW( 1 Liter) Super Soft and Very Affordable,Fabric Care,Fabric Enhancer,No Brand,2502321951,,,https://www.lazada.com.ph/products/fabric-conditioner-maxglow-1-liter-super-soft-and-very-affordable-i2502321951.html,,,https://ph-live-01.slatic.net/p/e8fd02cea59e5682d49b497734befb95.jpg,,2023-09-20,28,4.931034482758621,Super Soft | Super Tipid | Scented Clothing | Very Affordable Price | Very Good Quality | ECO-Friendly,,,,,,,,,,,,,,fabric conditioner maxglow( 1 liter) super soft and very affordable,no brand,fabric care,fabric enhancer,,,2023-09-20,,0,0,0,0,Unknown,relevant
Lazada,PH,lazada.com.ph,Tide PODS Laundry Detergent Liquid Pacs. Botanical Rain Scent. 4 in 1 HE Turbo. 61 Count (Packaging May Vary),Fabric Care,Laundry Detergents,Tide,1210598079,,,https://www.lazada.com.ph/products/tide-pods-laundry-detergent-liquid-pacs-botanical-rain-scent-4-in-1-he-turbo-61-count-packaging-may-vary-i1210598079.html,,,https://ph-live-01.slatic.net/p/caa4c75f36db07e44259a595103b616e.jpg,,2023-10-02,2,4.5,Shipped directly from the USA | Tide's #1 odor remover | Reformulated to remove even week-old sweat odors | Provides freshness that lasts 3x longer (vs. Tide Original) | 10X cleaning power (Stain removal of one Tide PODS in quick cycle vs. 10 doses of the leading bargain liquid detergent. base variant. in normal wash cycle | Dissolves completely in any water conditions | Works in all washing machines | Keep out of reach of children,,,,,,,,,,,,,,tide pods laundry detergent liquid pacs botanical rain scent 4 in 1 he turbo 61 count (packaging may vary),tide,fabric care,laundry detergents,,,2023-10-02,,0,0,0,0,Tide,relevant
Lazada,PH,lazada.com.ph,Famulei Bamboo Charcoal Freshener Odor Absorber 35gX2,Fabric Care,Fabric Enhancer,Famulei Grocery,1818333401,,,https://www.lazada.com.ph/products/famulei-bamboo-charcoal-freshener-odor-absorber-35gx2-i1818333401.html,,,https://ph-live-01.slatic.net/p/8108207d7f1fb0bb064e385cd8773b28.jpg,,2023-09-20,8,5.0,Famulei Bamboo Charcoal Freshener Odor Absorber 35gX2 | | At present. the furniture materials are all composites. and natural efficiency disappears. resulting in pollution in the locker and the emitted gas comes into contact with clothing. and contains carcinogens that are harmful to health if it is not treated for a long time. | | Based on the physical adsorption performance of bamboo charcoal. the company has combined the substance to enhance the original adsorption capacity. and has an auxiliary effect on formaldehyde. TVOC. peculiar smell. moisture absorption and moisture prevention. Aid health is accompanied.,,,,,,,,,,,,,,famulei bamboo charcoal freshener odor absorber 35gx2,famulei grocery,fabric care,fabric enhancer,,,2023-09-20,,0,0,0,0,Unknown,borderline
Lazada,PH,lazada.com.ph,Glide Ironing Aid Powder Pure Starch Spray 500mL,Fabric Care,Fabric Enhancer,Glide,1894416981,,,https://www.lazada.com.ph/products/glide-ironing-aid-powder-pure-starch-spray-500ml-i1894416981.html,,,https://ph-live-01.slatic.net/p/20e62f79d7ce982241398ff6fef4e70d.jpg,,2023-09-20,6,5.0,Glide Ironing Aid Powder Pure Starch Spray 500mL | makes ironing faster and easier. By reducing ironing time. you save on electricity bills and get to spend more time on other important matters. It has a heat-activated Fabric Protect formula that leaves an invisible. protective film on clothes to prevent stains and dirt from being easily absorbed by fabrics. | Please Message us first before you place your order to confirm if the items are available. | You can message us for inquiries | Seller is not responsible for any damaged during transit or delayed delivery of items. Hope you understand.,,,,,,,,,,,,,,glide ironing aid powder pure starch spray 500ml,glide,fabric care,fabric enhancer,,,2023-09-20,,0,0,0,0,Unknown,borderline
Lazada,PH,lazada.com.ph,Kirkland Signature Fabric Softener Dryer Sheets (250ct),Fabric Care,Fabric Enhancer,No Brand,1197818908,,,https://www.lazada.com.ph/products/kirkland-signature-fabric-softener-dryer-sheets-250ct-i1197818908.html,,,https://ph-live-01.slatic.net/p/c3188358b251a10f6d050efa78990a19.jpg,,2023-10-02,1,5.0,Refreshing Scent | Softens & Freshens | Help Reduce Static Cling | You'll get 250 Single sheets in a Pack | Made and Imported from Australia | Ingredients - Cationic Surfactant and fragrance | Made in Australia | Refreshing Scent | Softens & Freshens | Help Reduce Static Cling | You'll get 250 Single sheets in a Pack | Made and Imported from Australia | Ingredients - Cationic Surfactant and fragrance | Made in Australia,,,,,,,,,,,,,,kirkland signature fabric softener dryer sheets (250ct),no brand,fabric care,fabric enhancer,,,2023-10-02,,0,0,0,0,Unknown,relevant
Lazada,PH,lazada.com.ph,Glide Ironing Aid Powder Pure Easy Iron 240mL x3,Fabric Care,Fabric Enhancer,Glide,1894953508,,,https://www.lazada.com.ph/products/glide-ironing-aid-powder-pure-easy-iron-240ml-x3-i1894953508.html,,,https://ph-live-01.slatic.net/p/f0bbdf15a3fafebe6e9cb3268c9a333f.jpg,,2023-09-20,26,5.0,Glide Ironing Aid Powder Pure Easy Iron 240mL x3 | Leaves an invisible. protective film on clothes to prevent stains and dirt from being easily absorbed by fabrics. | It has a heat-activated Fabric Protect formula. | By reducing ironing time. you save on electricity bills and get to spend more time on other important matters. | Please Message us first before you place your order to confirm if the items are available. | You can message us for inquiries | Seller is not responsible for any damaged during transit or delayed delivery of items. Hope you understand. | If you're satisfied with our products and services. Kindly leave us a | If you're not satisfied. please don't hesitate to contact us. we are happy to help you.,,,,,,,,,,,,,,glide ironing aid powder pure easy iron 240ml x3,glide,fabric care,fabric enhancer,,,2023-09-20,,0,0,0,0,Unknown,borderline
Lazada,PH,lazada.com.ph,Laundry Bleach. Deep Cleaning of Fabrics. Yellow Stain Remover. Antibacterial And Deodorant.Effectively Decomposes Various Stains. Deep Cleaning.RichFoam.Shoe Washing Detergent. Multifunctional Surface Cleaning And Decontamination/200g,Fabric Care,Bleach,SK SOUKE,3498505605,,,https://www.lazada.com.ph/products/laundry-bleach-deep-cleaning-of-fabrics-yellow-stain-remover-antibacterial-and-deodoranteffectively-decomposes-various-stains-deep-cleaningrichfoamshoe-washing-detergent-multifunctional-surface-cleaning-and-decontamination200g-i3498505605.html,,,https://ph-live-01.slatic.net/p/10b198e35928f819fd9f7d0c7b333bcd.jpg,,2023-09-20,2,5.0,matters needing attention:1. Not applicable to silk. wool. leather. colored cotton clothing and washable articles2. Please ensure that the product is completely dissolved in water before use3. If you need to contact this product for a long time. please wear rubber gloves4. Do not use this product with chlorinated bleach or chlorinated cleaner5. Store in a cool and dry place and avoid children's contact. Tighten the cover after use6. Please test the inconspicuous part of the product surface before use. If faded. do not use7. Eye contact or ingestion. Please wash immediately with plenty of water and,,,,,,,,,,,,,,laundry bleach deep cleaning of fabrics yellow stain remover antibacterial and deodorant effectively decomposes various stains deep cleaning richfoam shoe washing detergent multifunctional surface cleaning and decontamination/200g,sk souke,fabric care,bleach,,,2023-09-20,,0,0,0,0,Surf,relevant
Lazada,PH,lazada.com.ph,DownyUnstopables HE In-wash Scent Booster Beads. 37.5oz (1.06kg),Fabric Care,Fabric Enhancer,No Brand,2397257010,,,https://www.lazada.com.ph/products/downyunstopables-he-in-wash-scent-booster-beads-375oz-106kg-i2397257010.html,,,https://ph-live-01.slatic.net/p/1f8ffb75027282d527b4bb9a97c58b60.jpg,,2023-09-20,13,5.0,,,,,,,,,,,,,,,downyunstopables he in-wash scent booster beads 37 5oz (1 06kg),no brand,fabric care,fabric enhancer,,,2023-09-20,,0,0,0,0,Downy,relevant
Lazada,PH,lazada.com.ph,Calla Powder Detergent Floral Fresh 800g,Fabric Care,Fabric Enhancer,No Brand,3102961802,,,https://www.lazada.com.ph/products/calla-powder-detergent-floral-fresh-800g-i3102961802.html,,,https://filebroker-cdn.lazada.com.ph/kf/Sd49ff49939174e70985fdccfc5338b5eP.jpg,,2023-12-02,2,5.0,,,,,,,,,,,,,,,calla powder detergent floral fresh 800g,no brand,fabric care,fabric enhancer,,,2023-12-02,,0,0,0,0,Calla,relevant
