retailerName,market,site,productName,category,subcategory,brand,retailerProductCode,upc,manufacturer,productUrl,additionalProductDescription,ingredients,productImageUrl,dateFirstAvailable,dateAddedToCatalog,numberOfReviews,productRating,aboutThisItem,internalReviewId,retailerReviewId,reviewDate,reviewDateISO,reviewRating,reviewTitle,reviewText,parentOrChild,reviewUrl,reviewType,verifiedPurchase,helpfulReviewCount,reviewCustomerImages,productName_clean,brand_clean,category_clean,subcategory_clean,reviewText_clean,review_date,dateAddedToCatalog_clean,verified_purchase_flag,has_text,has_image,low_rating_flag,is_review_row
Lazada,PH,lazada.com.ph,ORIGINAL MODERN RED AMERICAN BLEND/ REAM LAUNDRY,Fabric Care,Fabric Enhancer,No Brand,3544076064,,,https://www.lazada.com.ph/products/original-modern-red-american-blend-ream-laundry-i3544076064.html,,,https://filebroker-cdn.lazada.com.ph/kf/S767c9c037b0b4fe08ee4c8c33f91ace85.jpg,,2023-09-20,844,4.964454976303317,,722484796076064.0,,2024-01-09,2024-01-09T00:00:00Z,5.0,,The plastic bottles are sturdy and durable. High-quality American blend.,Parent,https://www.lazada.com.ph/products/original-modern-red-american-blend-ream-laundry-i3544076064-s18258266376.html,Organic,1.0,,,original modern red american blend/ ream laundry,no brand,fabric care,fabric enhancer,the plastic bottles are sturdy and durable. high-quality american blend.,2024-01-09 00:00:00+00:00,2023-09-20,,1,0,0,1
Lazada,PH,lazada.com.ph,ORIGINAL MODERN RED AMERICAN BLEND/ REAM LAUNDRY,Fabric Care,Fabric Enhancer,No Brand,3544076064,,,https://www.lazada.com.ph/products/original-modern-red-american-blend-ream-laundry-i3544076064.html,,,https://filebroker-cdn.lazada.com.ph/kf/S767c9c037b0b4fe08ee4c8c33f91ace85.jpg,,2023-09-20,844,4.964454976303317,,725842363576064.0,,2024-01-10,2024-01-10T00:00:00Z,5.0,,good good good,Parent,https://www.lazada.com.ph/products/original-modern-red-american-blend-ream-laundry-i3544076064-s18258266376.html,Organic,1.0,,,original modern red american blend/ ream laundry,no brand,fabric care,fabric enhancer,good good good,2024-01-10 00:00:00+00:00,2023-09-20,,1,0,0,1
Lazada,PH,lazada.com.ph,ORIGINAL MODERN RED AMERICAN BLEND/ REAM LAUNDRY,Fabric Care,Fabric Enhancer,No Brand,3544076064,,,https://www.lazada.com.ph/products/original-modern-red-american-blend-ream-laundry-i3544076064.html,,,https://filebroker-cdn.lazada.com.ph/kf/S767c9c037b0b4fe08ee4c8c33f91ace85.jpg,,2023-09-20,844,4.964454976303317,,716610916476064.0,,2024-01-08,2024-01-08T00:00:00Z,5.0,,Quality:good Value for Money:sulit Packaging:magandaayos namanmabentasalamat seller lazada at ridercomplete items,Parent,https://www.lazada.com.ph/products/original-modern-red-american-blend-ream-laundry-i3544076064-s18258266376.html,Organic,1.0,,https://lzd-u.slatic.net/13c11db5617d4da7b5074470dd9fd5dc_99031c6753bf4b0aa50d9c7886878a05.jpg,original modern red american blend/ ream laundry,no brand,fabric care,fabric enhancer,quality:good value for money:sulit packaging:magandaayos namanmabentasalamat seller lazada at ridercomplete items,2024-01-08 00:00:00+00:00,2023-09-20,,1,1,0,1
Lazada,PH,lazada.com.ph,VUNGUARD LIQUID DETERGENT 1 GALLON,Fabric Care,Fabric Enhancer,No Brand,2055181840,,,https://www.lazada.com.ph/products/vunguard-liquid-detergent-1-gallon-i2055181840.html,,,https://sg-live-01.slatic.net/p/1b4fe6b2413969412943d9c30f960e0a.jpg,,2023-09-20,353,4.920679886685552,,723155954281840.0,,2024-01-04,2024-01-04T00:00:00Z,5.0,,Easy to pour and use. Great value for money. Leaves a refreshing scent. Leaves a refreshing scent.,Parent,https://www.lazada.com.ph/products/vunguard-liquid-detergent-1-gallon-i2055181840-s9121272571.html,Organic,1.0,,https://lzd-u.slatic.net/bb7f78dec6314b93892589a8e7bb07b3_1_1704374019.856287.jpg,vunguard liquid detergent 1 gallon,no brand,fabric care,fabric enhancer,easy to pour and use. great value for money. leaves a refreshing scent. leaves a refreshing scent.,2024-01-04 00:00:00+00:00,2023-09-20,,1,1,0,1
Lazada,PH,lazada.com.ph,VUNGUARD LIQUID DETERGENT 1 GALLON,Fabric Care,Fabric Enhancer,No Brand,2055181840,,,https://www.lazada.com.ph/products/vunguard-liquid-detergent-1-gallon-i2055181840.html,,,https://sg-live-01.slatic.net/p/1b4fe6b2413969412943d9c30f960e0a.jpg,,2023-09-20,353,4.920679886685552,,722178267181840.0,,2024-01-04,2024-01-04T00:00:00Z,5.0,,suki nako dito..tnx po seller..,Parent,https://www.lazada.com.ph/products/vunguard-liquid-detergent-1-gallon-i2055181840-s9121272571.html,Organic,1.0,,,vunguard liquid detergent 1 gallon,no brand,fabric care,fabric enhancer,suki nako dito..tnx po seller..,2024-01-04 00:00:00+00:00,2023-09-20,,1,0,0,1
Lazada,PH,lazada.com.ph,Member's Value Powder Detergent Bucket 10kg,Fabric Care,Fabric Enhancer,Member's Value,1747262946,,,https://www.lazada.com.ph/products/members-value-powder-detergent-bucket-10kg-i1747262946.html,,,https://ph-live-01.slatic.net/p/df9db543673513b19152b9a8bd9ad187.jpg,,2023-09-20,1315,4.97490494296578,Single item | Powdered laundry detergent in 1 bucket | Anti-bacterial formula | Fresh floral scent | Great for machine-washing or hand-washing laundry,726824441562946.0,,2024-01-10,2024-01-10T00:00:00Z,5.0,,Antibacterial formula for hygienic cleaning. Convenient large bucket size. Fresh floral scent. Great value for money.,Parent,https://www.lazada.com.ph/products/members-value-powder-detergent-bucket-10kg-i1747262946-s7487736292.html,Organic,1.0,,https://lzd-u.slatic.net/9f6cf71d4d99485a8cf0b388b248199b_a7cabf444b484b5a9e27b1bfa7b8945f.jpg,member s value powder detergent bucket 10kg,member's value,fabric care,fabric enhancer,antibacterial formula for hygienic cleaning. convenient large bucket size. fresh floral scent. great value for money.,2024-01-10 00:00:00+00:00,2023-09-20,,1,1,0,1
Lazada,PH,lazada.com.ph,Member's Value Powder Detergent Bucket 10kg,Fabric Care,Fabric Enhancer,Member's Value,1747262946,,,https://www.lazada.com.ph/products/members-value-powder-detergent-bucket-10kg-i1747262946.html,,,https://ph-live-01.slatic.net/p/df9db543673513b19152b9a8bd9ad187.jpg,,2023-09-20,1315,4.97490494296578,Single item | Powdered laundry detergent in 1 bucket | Anti-bacterial formula | Fresh floral scent | Great for machine-washing or hand-washing laundry,725516160662946.0,,2024-01-10,2024-01-10T00:00:00Z,5.0,,Antibacterial formula for hygienic cleaning.,Parent,https://www.lazada.com.ph/products/members-value-powder-detergent-bucket-10kg-i1747262946-s7487736292.html,Organic,1.0,,,member s value powder detergent bucket 10kg,member's value,fabric care,fabric enhancer,antibacterial formula for hygienic cleaning.,2024-01-10 00:00:00+00:00,2023-09-20,,1,0,0,1
Lazada,PH,lazada.com.ph,Member's Value Powder Detergent Bucket 10kg,Fabric Care,Fabric Enhancer,Member's Value,1747262946,,,https://www.lazada.com.ph/products/members-value-powder-detergent-bucket-10kg-i1747262946.html,,,https://ph-live-01.slatic.net/p/df9db543673513b19152b9a8bd9ad187.jpg,,2023-09-20,1315,4.97490494296578,Single item | Powdered laundry detergent in 1 bucket | Anti-bacterial formula | Fresh floral scent | Great for machine-washing or hand-washing laundry,724458802562946.0,,2024-01-10,2024-01-10T00:00:00Z,5.0,,Value for Money:100% Packaging:100% Quality:100%,Parent,https://www.lazada.com.ph/products/members-value-powder-detergent-bucket-10kg-i1747262946-s7487736292.html,Organic,1.0,,,member s value powder detergent bucket 10kg,member's value,fabric care,fabric enhancer,value for money:100% packaging:100% quality:100%,2024-01-10 00:00:00+00:00,2023-09-20,,1,0,0,1
Lazada,PH,lazada.com.ph,Member's Value Powder Detergent Bucket 10kg,Fabric Care,Fabric Enhancer,Member's Value,1747262946,,,https://www.lazada.com.ph/products/members-value-powder-detergent-bucket-10kg-i1747262946.html,,,https://ph-live-01.slatic.net/p/df9db543673513b19152b9a8bd9ad187.jpg,,2023-09-20,1315,4.97490494296578,Single item | Powdered laundry detergent in 1 bucket | Anti-bacterial formula | Fresh floral scent | Great for machine-washing or hand-washing laundry,723679345962946.0,,2024-01-10,2024-01-10T00:00:00Z,5.0,,Great value for money.,Parent,https://www.lazada.com.ph/products/members-value-powder-detergent-bucket-10kg-i1747262946-s7487736292.html,Organic,1.0,,,member s value powder detergent bucket 10kg,member's value,fabric care,fabric enhancer,great value for money.,2024-01-10 00:00:00+00:00,2023-09-20,,1,0,0,1
Lazada,PH,lazada.com.ph,OXY Wash Detergent with Baking Soda [ 2.2kg ],Fabric Care,Fabric Enhancer,OxyWash,1492148917,,,https://www.lazada.com.ph/products/oxy-wash-detergent-with-baking-soda-22kg-i1492148917.html,,,https://sg-live-01.slatic.net/p/e2a2abb07633846b1dcf98780ccf994e.png,,2023-09-02,2940,4.872108843537415,Net Content 2.2 Kilos | This pack contains a liquid detergent. | Yes - It works with top load washers | Yes - It works with front load washers | Whiter Whites | Brighter Colors | Indoor Drying | Anti Bacterial Defense | Disinfectant content: BAC 0.12% w/w. | This package includes no bottles. The product is sealed securely in plastic and packed in our carton box | Net Content 2.2 Kilos | This pack contains a liquid detergent. | Yes - It works with top load washers | Yes - It works with front load washers | Whiter Whites | Brighter Colors | Indoor Drying | Anti Bacterial Defense | Disinfectant content: BAC 0.12% w/w. | This package includes no bottles. The product is sealed securely in plastic and packed in our carton box.,722751242548917.0,,2024-01-08,2024-01-08T00:00:00Z,5.0,,My usual top of mind liquid detergent . Very suitable to those who.operate a laundry shop because it gives more value for your money.,Parent,https://www.lazada.com.ph/products/oxy-wash-detergent-with-baking-soda-22kg-i1492148917-s6174098972.html,Organic,1.0,,https://lzd-u.slatic.net/ee33df3dfa914c91b640eae59024c101_162bcf71d3ea48a587bdb52b7fe70460.jpg,oxy wash detergent with baking soda 2 2kg,oxywash,fabric care,fabric enhancer,my usual top of mind liquid detergent . very suitable to those who.operate a laundry shop because it gives more value for your money.,2024-01-08 00:00:00+00:00,2023-09-02,,1,1,0,1
